"","Outcome","Evalue.point","Evalue.CI"
"1","Overall flourishing (continuous)",1.69,1.6
"2","Emotional well-being",1.67,1.57
"3","Social well-being",1.48,1.38
"4","Psychological well-being",1.64,1.54
"5","Positive affect",1.63,1.53
"6","Life satisfaction",1.58,1.48
"7","Meaningfulness of society",1.21,1
"8","Social integration",1.56,1.47
"9","Social acceptance",1.39,1.27
"10","Social contribution",1.37,1.25
"11","Social actualization",1.33,1.2
"12","Autonomy",1.33,1.2
"13","Environmental mastery",1.5,1.39
"14","Personal growth",1.39,1.27
"15","Positive relations",1.75,1.67
"16","Purpose in life",1.22,1
"17","Self-acceptance",1.66,1.56
